ID,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,,,
1,360000,3032,4,4,1,2,0,1972,2,22221,,,
2,340000,2058,4,2,1,2,0,1976,2,22912,,,
3,250000,1780,4,3,1,2,0,1980,2,21345,,,Variable Description
4,205500,1638,4,2,1,2,0,1963,2,17342,,,ID = Identification number
5,275500,2196,4,3,1,2,0,1968,2,21786,,,Y = Sales price of residence (dollars)
6,248000,1966,4,3,1,5,1,1972,2,18902,,,X1 = Finished area of residence (sq. ft.)
7,229900,2216,3,2,1,2,0,1972,2,18639,,,X2 = Number of bedrooms in residence
8,150000,1597,2,1,1,1,0,1955,2,22112,,,X3 = Number of bathrooms in residence
9,195000,1622,3,2,1,2,0,1975,3,14321,,,X4 = Presence of air conditioning: 1 = yes; 0 = no
10,160000,1976,3,3,0,1,0,1918,3,32358,,,X5 = Number of cars that garage will hold
11,190000,2812,7,5,0,2,1,1966,3,56639,,,X6 = Presence of swimming pool: 1 = yes; 0 = no
12,559000,2791,3,4,1,3,0,1992,1,30595,,,X7 = Year property was originally constructed
13,535000,3381,5,4,1,3,0,1988,1,23172,,,X8 = Constuction quality: 1 = hi; 2 = medium; 3 = lo
14,525000,3459,5,4,1,2,0,1978,1,35351,,,X9 = Lot size (sq. ft.)
15,299900,2090,3,3,1,2,0,1987,2,24025,,,
16,527000,3232,5,5,1,2,0,1984,2,21445,,,A city tax assessor was interested in predicting residential home sales prices in a midwestern
17,169900,1502,2,2,1,2,0,1956,2,28958,,,city as a function of various charateristics of the home and surrouding property.
18,335250,2747,3,4,1,2,0,1993,2,22241,,,Data were obtained at home sales during the year 2002.
19,323900,2890,4,3,1,2,0,1954,2,41992,,,
20,200000,1825,3,3,1,2,0,1957,2,30266,,,
21,211000,1578,4,3,1,2,0,1986,2,18829,,,
22,212000,1763,3,3,1,2,0,1959,2,24726,,,
23,245000,2517,4,3,1,2,0,1965,2,23261,,,
24,140400,1872,3,2,1,2,0,1985,2,24017,,,
25,295000,3266,3,3,1,2,0,1908,2,24881,,,
26,170900,2020,1,2,1,1,0,1956,2,21385,,,
27,229000,2164,4,2,1,2,0,1965,2,28291,,,
28,218500,2080,3,2,1,2,1,1959,2,14752,,,
29,160000,2208,2,2,1,2,0,1985,2,8058,,,
30,259000,3048,6,4,1,3,0,1960,2,29307,,,
31,164500,1460,3,2,1,2,0,1978,2,9999,,,
32,280000,2540,3,2,0,2,0,1940,2,42428,,,
33,154000,2208,2,2,1,2,0,1985,2,6746,,,
34,272000,2560,4,2,1,3,0,1977,2,36100,,,
35,180000,2061,4,2,0,2,0,1958,2,20138,,,
36,157500,1980,3,2,1,2,0,1957,2,32519,,,
37,242500,3308,5,4,1,2,0,1928,2,47323,,,
38,182000,2616,5,3,0,2,0,1955,3,11123,,,
39,178000,1460,4,2,1,2,0,1961,3,27095,,,
40,171900,1580,2,1,0,1,0,1951,3,12417,,,
41,165500,1460,3,2,1,2,0,1960,3,22493,,,
42,183500,1540,3,2,1,2,0,1992,3,15801,,,
43,135000,1388,2,1,0,2,0,1951,3,26106,,,
44,175000,1624,3,2,1,2,0,1948,3,39219,,,
45,149500,1580,2,1,1,2,0,1966,3,11166,,,
46,177500,1820,3,2,1,2,0,1960,3,22104,,,
47,155000,1733,4,1,1,1,0,1936,3,22398,,,
48,145000,1896,3,2,0,2,0,1925,3,32753,,,
49,178000,2038,2,2,0,2,0,1918,3,47884,,,
50,156000,1436,3,2,0,3,0,1920,3,43594,,,
51,159000,1690,3,2,0,1,0,1922,3,28518,,,
52,160000,1496,2,2,0,1,0,1900,3,43335,,,
53,112000,1668,2,1,0,1,0,1948,3,19612,,,
54,84000,980,1,1,0,1,0,1951,3,17686,,,
55,155000,2562,3,2,0,2,0,1885,3,40800,,,
56,360000,2304,5,4,1,3,0,1978,2,70240,,,
57,104000,1268,2,1,0,1,0,1947,3,21067,,,
58,420000,2283,3,3,1,3,0,1997,1,18524,,,
59,355000,2060,2,3,1,2,0,1997,2,38623,,,
60,165000,2087,2,2,1,2,0,1966,2,24764,,,
61,244000,2081,4,2,1,2,0,1980,2,24993,,,
62,179900,1696,3,3,1,2,0,1978,2,22294,,,
63,253000,2222,4,2,0,2,0,1955,2,71527,,,
64,200000,2110,5,3,1,2,0,1957,2,15332,,,
65,200000,1774,4,2,0,2,0,1963,3,15528,,,
66,147700,1592,3,2,1,2,0,1957,3,11221,,,
67,188700,1748,3,2,1,2,0,1972,3,23939,,,
